Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2022,1,Ciutat Vella,1,el Raval,1,15940
2022,1,Ciutat Vella,1,el Raval,2,13841
2022,1,Ciutat Vella,1,el Raval,3,12732
2022,1,Ciutat Vella,1,el Raval,4,15749
2022,1,Ciutat Vella,1,el Raval,5,13190
2022,1,Ciutat Vella,1,el Raval,6,14262
2022,1,Ciutat Vella,1,el Raval,7,13335
2022,1,Ciutat Vella,1,el Raval,8,10692
2022,1,Ciutat Vella,1,el Raval,9,13723
2022,1,Ciutat Vella,1,el Raval,10,11833
2022,1,Ciutat Vella,1,el Raval,11,11708
2022,1,Ciutat Vella,1,el Raval,12,14737
2022,1,Ciutat Vella,1,el Raval,13,14851
2022,1,Ciutat Vella,1,el Raval,14,14082
2022,1,Ciutat Vella,1,el Raval,15,14744
2022,1,Ciutat Vella,1,el Raval,16,14277
2022,1,Ciutat Vella,1,el Raval,17,12292
2022,1,Ciutat Vella,1,el Raval,18,13914
2022,1,Ciutat Vella,1,el Raval,19,13991
2022,1,Ciutat Vella,1,el Raval,20,19278
2022,1,Ciutat Vella,1,el Raval,21,19473
2022,1,Ciutat Vella,2,el Barri Gòtic,22,24330
2022,1,Ciutat Vella,2,el Barri Gòtic,23,20302
2022,1,Ciutat Vella,2,el Barri Gòtic,25,18972
2022,1,Ciutat Vella,2,el Barri Gòtic,26,20162
2022,1,Ciutat Vella,2,el Barri Gòtic,27,17614
2022,1,Ciutat Vella,2,el Barri Gòtic,28,19283
2022,1,Ciutat Vella,2,el Barri Gòtic,29,16012
2022,1,Ciutat Vella,2,el Barri Gòtic,30,15938
2022,1,Ciutat Vella,2,el Barri Gòtic,31,15400
2022,1,Ciutat Vella,3,la Barceloneta,32,19836
2022,1,Ciutat Vella,3,la Barceloneta,33,17188
2022,1,Ciutat Vella,3,la Barceloneta,34,17278
2022,1,Ciutat Vella,3,la Barceloneta,35,17458
2022,1,Ciutat Vella,3,la Barceloneta,36,17877
2022,1,Ciutat Vella,3,la Barceloneta,37,18627
2022,1,Ciutat Vella,3,la Barceloneta,38,16281
2022,1,Ciutat Vella,3,la Barceloneta,39,18053
2022,1,Ciutat Vella,3,la Barceloneta,40,19187
2022,1,Ciutat Vella,3,la Barceloneta,41,17187
2022,1,Ciutat Vella,3,la Barceloneta,42,18653
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,25186
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,20772
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,19646
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,17547
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,20023
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,15023
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,18668
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,17298
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,17760
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,24015
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,17569
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,18968
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,23042
2022,2,Eixample,5,el Fort Pienc,1,22790
2022,2,Eixample,5,el Fort Pienc,2,23841
2022,2,Eixample,5,el Fort Pienc,3,26735
2022,2,Eixample,5,el Fort Pienc,4,20846
2022,2,Eixample,5,el Fort Pienc,5,25223
2022,2,Eixample,5,el Fort Pienc,6,26174
2022,2,Eixample,5,el Fort Pienc,7,28926
2022,2,Eixample,5,el Fort Pienc,8,26072
2022,2,Eixample,5,el Fort Pienc,9,25066
2022,2,Eixample,5,el Fort Pienc,10,23183
2022,2,Eixample,5,el Fort Pienc,11,24698
2022,2,Eixample,5,el Fort Pienc,12,20656
2022,2,Eixample,5,el Fort Pienc,13,21814
2022,2,Eixample,5,el Fort Pienc,14,20498
2022,2,Eixample,5,el Fort Pienc,15,20373
2022,2,Eixample,5,el Fort Pienc,16,26542
2022,2,Eixample,5,el Fort Pienc,17,26887
2022,2,Eixample,5,el Fort Pienc,18,25637
2022,2,Eixample,5,el Fort Pienc,19,24358
2022,2,Eixample,5,el Fort Pienc,20,22945
2022,2,Eixample,6,la Sagrada Família,21,23411
2022,2,Eixample,6,la Sagrada Família,22,23805
2022,2,Eixample,6,la Sagrada Família,23,24495
2022,2,Eixample,6,la Sagrada Família,24,21808
2022,2,Eixample,6,la Sagrada Família,25,22251
2022,2,Eixample,6,la Sagrada Família,26,22712
2022,2,Eixample,6,la Sagrada Família,27,23205
2022,2,Eixample,6,la Sagrada Família,28,23093
2022,2,Eixample,6,la Sagrada Família,29,23537
2022,2,Eixample,6,la Sagrada Família,30,19958
2022,2,Eixample,6,la Sagrada Família,31,25192
2022,2,Eixample,6,la Sagrada Família,32,24660
2022,2,Eixample,6,la Sagrada Família,33,23934
2022,2,Eixample,6,la Sagrada Família,34,21815
2022,2,Eixample,6,la Sagrada Família,35,25035
2022,2,Eixample,6,la Sagrada Família,36,25842
2022,2,Eixample,6,la Sagrada Família,37,27029
2022,2,Eixample,6,la Sagrada Família,38,26402
2022,2,Eixample,6,la Sagrada Família,39,23132
2022,2,Eixample,6,la Sagrada Família,40,20914
2022,2,Eixample,6,la Sagrada Família,41,23317
2022,2,Eixample,6,la Sagrada Família,42,25918
2022,2,Eixample,6,la Sagrada Família,43,24593
2022,2,Eixample,6,la Sagrada Família,44,21162
2022,2,Eixample,6,la Sagrada Família,45,25351
2022,2,Eixample,6,la Sagrada Família,46,21589
2022,2,Eixample,6,la Sagrada Família,47,22895
2022,2,Eixample,6,la Sagrada Família,48,22490
2022,2,Eixample,6,la Sagrada Família,49,22119
2022,2,Eixample,6,la Sagrada Família,50,23490
2022,2,Eixample,6,la Sagrada Família,51,20797
2022,2,Eixample,6,la Sagrada Família,52,24261
2022,2,Eixample,6,la Sagrada Família,53,24829
2022,2,Eixample,6,la Sagrada Família,54,24388
2022,2,Eixample,7,la Dreta de l'Eixample,55,25670
2022,2,Eixample,7,la Dreta de l'Eixample,56,26223
2022,2,Eixample,7,la Dreta de l'Eixample,57,32110
2022,2,Eixample,7,la Dreta de l'Eixample,58,29126
2022,2,Eixample,7,la Dreta de l'Eixample,59,28590
2022,2,Eixample,7,la Dreta de l'Eixample,60,26853
2022,2,Eixample,7,la Dreta de l'Eixample,61,25141
2022,2,Eixample,7,la Dreta de l'Eixample,62,29073
2022,2,Eixample,7,la Dreta de l'Eixample,63,33504
2022,2,Eixample,7,la Dreta de l'Eixample,64,34279
2022,2,Eixample,7,la Dreta de l'Eixample,65,26124
2022,2,Eixample,7,la Dreta de l'Eixample,66,26487
2022,2,Eixample,7,la Dreta de l'Eixample,67,24205
2022,2,Eixample,7,la Dreta de l'Eixample,68,24597
2022,2,Eixample,7,la Dreta de l'Eixample,69,27907
2022,2,Eixample,7,la Dreta de l'Eixample,70,29588
2022,2,Eixample,7,la Dreta de l'Eixample,71,30730
2022,2,Eixample,7,la Dreta de l'Eixample,72,32777
2022,2,Eixample,7,la Dreta de l'Eixample,73,29806
2022,2,Eixample,7,la Dreta de l'Eixample,74,32048
2022,2,Eixample,7,la Dreta de l'Eixample,75,29337
2022,2,Eixample,7,la Dreta de l'Eixample,76,33570
2022,2,Eixample,7,la Dreta de l'Eixample,77,27936
2022,2,Eixample,7,la Dreta de l'Eixample,78,30538
2022,2,Eixample,7,la Dreta de l'Eixample,79,34652
2022,2,Eixample,7,la Dreta de l'Eixample,80,29980
2022,2,Eixample,7,la Dreta de l'Eixample,81,32610
2022,2,Eixample,7,la Dreta de l'Eixample,82,35461
2022,2,Eixample,7,la Dreta de l'Eixample,83,35723
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,29114
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,29619
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,31623
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,28228
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,30535
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,28941
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,26461
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,27557
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,26561
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,26544
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,27481
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,27232
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,24967
2022,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,25274
